Date,ZHVI_diff1,Interest_Rate,Median_Household_Income,real_mortgage_rate,Poverty_Rate_lag15,Unemployment_Rate_lag2
2011-02-01,339.6111999999848,0.16,55843.715539134944,2.3134405158799787,18.4,9.9
2011-03-01,315.1704000000027,0.14,56545.844540933846,1.902701680672263,18.4,10.0
2011-04-01,165.65620000002673,0.1,57466.110645087545,1.4661802462437867,19.2,10.0
2011-05-01,-548.9083000000101,0.09,58459.37586217208,0.8234439788652184,19.2,10.1
2011-06-01,-424.5798000000068,0.09,59548.80868108729,0.4669859537041212,19.2,10.3
2011-07-01,-829.7013000000152,0.07,60622.91543651296,0.27283147720107515,19.2,10.4
2011-08-01,-898.3748999999953,0.1,61710.25405323831,0.37669129756623754,19.2,10.5
2011-09-01,-1273.4136999999755,0.08,62730.89602822388,0.587969715366067,19.2,10.5
2011-10-01,-1034.3841000000248,0.07,63613.44947334589,0.6505555814573665,19.2,10.4
2011-11-01,-275.7216999999946,0.08,64373.70209270668,0.6766769653538964,19.2,10.3
2011-12-01,-10.446100000001024,0.07,64921.39765321535,0.9646975896879182,19.2,10.1
2012-01-01,167.8241000000271,0.08,65250.0,1.2411159084074512,19.2,9.9
2012-02-01,458.86999999999534,0.1,65308.50634063951,1.0527431873354653,19.2,9.8
2012-03-01,1029.2562000000034,0.13,65145.24038895644,0.955045998418234,19.2,9.6
2012-04-01,1745.3218999999808,0.14,64780.45291117506,1.3385230567371265,18.7,9.5
2012-05-01,1663.4466000000248,0.16,64281.85764906109,1.6500990275881797,18.7,9.3
2012-06-01,1972.071399999957,0.16,63660.17579876192,1.855801154058872,18.7,9.2
2012-07-01,1733.180800000031,0.16,62997.59623252232,2.0583399456738505,18.7,9.1
2012-08-01,1974.625,0.13,62293.90785954802,1.599970292462399,18.7,9.0
2012-09-01,2252.214099999983,0.14,61615.56636630953,0.9862422766781864,18.7,8.8
2012-10-01,2514.704000000027,0.16,61025.78324967542,1.071952715453973,18.7,8.7
2012-11-01,2554.1959999999963,0.16,60529.20051549175,1.2426266400755726,18.7,8.6
2012-12-01,2019.3364999999758,0.16,60199.936125286185,1.3534624105924675,18.7,8.6
2013-01-01,1914.3675999999978,0.14,60060.0,1.5398943739173219,18.7,8.6
2013-02-01,2024.5351000000373,0.15,60155.46623743822,1.9280663519862746,18.7,8.7
2013-03-01,2007.4489999999641,0.14,60428.44190640307,2.226630235102282,18.7,8.7
2013-04-01,2071.071200000006,0.15,60907.92266907568,2.1462075983997764,18.2,8.7
2013-05-01,2121.1538999999757,0.11,61520.10362073863,2.2767505176410405,18.2,8.7
2013-06-01,2555.5455000000075,0.09,62274.61997285268,2.523706189718915,18.2,8.6
2013-07-01,2390.0740000000224,0.09,63092.95005125811,2.5358283142497813,18.2,8.5
2013-08-01,2308.3548999999766,0.08,63998.47234253188,2.9035726878042416,18.2,8.5
2013-09-01,2285.825200000021,0.08,64933.20343510887,3.2158908139915017,18.2,8.5
2013-10-01,2522.733100000012,0.09,65835.42143401054,2.719829414308532,18.2,8.4
2013-11-01,2396.4394999999786,0.08,66734.09735384696,2.5835293113869806,18.2,8.3
2013-12-01,2065.217500000028,0.09,67541.40890318592,2.757998076733422,18.2,8.2
2014-01-01,1608.4832999999635,0.07,68280.0,2.7044983879116113,18.2,8.1
2014-02-01,1505.8877000000211,0.07,68896.71183221664,2.600894518866972,18.2,8.0
2014-03-01,1495.2307000000146,0.08,69351.28831817939,2.6665792416397505,18.2,7.9
2014-04-01,1716.2779999999912,0.09,69750.35804244522,2.492603304438507,18.9,7.9
2014-05-01,1338.3983000000007,0.09,70041.40807247655,2.1781425097454443,18.9,7.8
2014-06-01,889.3496999999625,0.1,70253.58542014635,2.31331852516998,18.9,7.8
2014-07-01,301.39949999999953,0.09,70382.5280956146,2.445040336666959,18.9,7.8
2014-08-01,89.53190000000177,0.09,70446.57595378326,2.7093775100401656,18.9,7.8
2014-09-01,472.8699000000488,0.09,70450.20000446762,3.0343437043552663,18.9,7.7
2014-10-01,625.3322000000044,0.09,70405.60500183306,2.92430988361994,18.9,7.7
2014-11-01,818.983899999992,0.09,70319.5616222414,2.902314287563081,18.9,7.6
2014-12-01,456.13389999995707,0.12,70206.94792277274,3.428394283786206,18.9,7.6
2015-01-01,521.694300000032,0.11,70070.0,3.892869116881119,18.9,7.5
2015-02-01,708.5503000000026,0.11,69922.43401439225,3.741773483218367,18.9,7.4
2015-03-01,875.1932999999844,0.11,69789.98670239096,3.6121417438930092,18.9,7.4
2015-04-01,484.90750000003027,0.12,69655.68584059969,3.3168241519576562,17.7,7.3
2015-05-01,169.725999999966,0.12,69549.34998534435,3.2881778288872185,17.7,7.2
