Date,House_Index,CPI,Poverty_Rate,Unemployment_Rate,Median_Household_Income,Population,Interest_Rate,Mortgage_Rate,GDP,House_Index_pct_change,CPI_pct_change,Poverty_Rate_pct_change,Median_Household_Income_pct_change,Population_pct_change,Interest_Rate_pct_change,Mortgage_Rate_pct_change,GDP_pct_change,dummy_crisis_2008_period,dummy_covid_2020_period
2011-04-01,208.89,236.265,15.0,7.9,75447.5,5757.49725,0.1,4.84,15557.539,-0.0026260504201681,0.0150148214976155,0.0,0.0396513710899821,0.0045809874560358,-0.4117647058823529,0.0178759200841218,0.0134248573815316,0,0
2011-07-01,211.71,238.191,15.0,8.9,78325.0,5783.752,0.07,4.545,15647.68,0.0134999281918715,0.008151863373754,0.0,0.0381391033500115,0.0045600977056481,-0.2999999999999999,-0.0609504132231404,0.0057940397899693,0,0
2011-10-01,213.75,238.45,15.0,8.4,81202.5,5808.14625,0.07,4.0675,15842.259,0.0096358225875017,0.001087362662737,0.0,0.0367379508458347,0.0042177206076607,0.0,-0.105060506050605,0.0124350063395979,0,0
2012-01-01,212.58,238.994,15.0,8.4,84080.0,5832.5405,0.08,3.915,16068.805,-0.0054736842105262,0.0022814007129376,0.0,0.0354361011052615,0.0042000061551481,0.1428571428571428,-0.0374923171481254,0.0143001070743762,0,0
2012-04-01,212.12,242.3405,14.95,7.3,82175.0,5856.93475,0.14,3.91,16207.115,-0.0021638912409446,0.0140024435759893,-0.0033333333333334,-0.0226569933396765,0.0041824398819005,0.7500000000000002,-0.0012771392081736,0.0086073606593644,0,0
2012-07-01,215.37,241.744,14.9,8.3,80270.0,5881.329,0.16,3.55,16319.541,0.0153215161229491,-0.0024614127642716,-0.003344481605351,-0.0231822330392454,0.0041650199364093,0.1428571428571428,-0.0920716112531969,0.0069368299046437,0,0
2012-10-01,216.89,243.9595,14.85,7.5,78365.0,5902.6365,0.16,3.3825000000000003,16420.419,0.0070576217671911,0.0091646535177707,-0.0033557046979866,-0.0237324031394045,0.0036229056391845,0.0,-0.0471830985915491,0.0061814238525459,0,0
2013-01-01,218.51,243.473,14.8,8.1,76460.0,5923.944,0.14,3.414,16648.189,0.0074692240306146,-0.0019941834607792,-0.0033670033670032,-0.0243093217635423,0.0036098275745086,-0.1249999999999998,0.0093126385809312,0.0138711442137984,0,0
2013-04-01,222.72,245.488,14.8,7.0,78772.5,5945.2515,0.15,3.4450000000000003,16728.687,0.0192668527756167,0.0082760716794059,0.0,0.030244572325399,0.0035968435893385,0.0714285714285714,0.0090802577621558,0.0048352406378857,0,0
2013-07-01,225.83,246.178,14.8,7.8,81085.0,5966.559,0.09,4.37,16953.838,0.0139637212643679,0.0028107280192921,0.0,0.0293566917388683,0.003583952672145,-0.4,0.2685050798258344,0.0134589761886272,0,0
