Year,Quarter,Date,Unemployment_Rate,CPI,Interest_Rate,Mortgage_Rate,ZHVI,GDP_Growth,Median_Household_Income,Population,Poverty_Rate,Marriage_Rate,Divorce_Rate,YearQuarter,QuarterLabel
2017,2,2017-04-01,6.166666666666667,255.4935,0.9500000000000001,3.986333333333333,394046.21486666665,2.48868273162061,83053.760407842,697.0790000000001,16.6,9.293333333333333,2.375,2017-Q2,Q2 2017
2017,3,2017-07-01,6.066666666666666,256.667,1.1533333333333333,3.8841666666666668,394940.6385333333,3.7879645268540982,83898.86753230788,697.0790000000001,16.6,9.839999999999998,2.5416666666666665,2017-Q3,Q3 2017
2017,4,2017-10-01,5.933333333333334,258.2538333333334,1.2033333333333334,3.922333333333333,398623.2109333333,4.443947809105219,84843.53975175181,697.0790000000001,16.6,6.833333333333333,2.5416666666666665,2017-Q4,Q4 2017
2018,1,2018-01-01,5.833333333333333,260.1225,1.4466666666666665,4.268833333333333,403569.6200333333,2.726843016679755,86369.00929032177,704.147,16.2,6.5,2.5416666666666665,2018-Q1,Q1 2018
2018,2,2018-04-01,5.7,261.5203333333333,1.7366666666666666,4.541166666666666,407334.3148666667,2.308529373851471,88519.76006200048,704.147,16.2,8.840000000000002,2.375,2018-Q2,Q2 2018
2018,3,2018-07-01,5.5,262.536,1.9233333333333331,4.5683333333333325,410166.1487333334,1.8449875220665783,90795.85049531917,704.147,16.2,9.36,2.5416666666666665,2018-Q3,Q3 2018
2018,4,2018-10-01,5.7,261.64000000000004,2.22,4.777833333333334,413124.7415,0.9240981049863392,92523.6525205635,704.147,16.2,6.5,2.5416666666666665,2018-Q4,Q4 2018
2019,1,2019-01-01,5.866666666666667,263.2805,2.4033333333333333,4.366333333333333,416506.6128333334,2.863073576842426,93079.28010557014,708.253,15.5,6.5,2.44,2019-Q1,Q1 2019
2019,2,2019-04-01,5.566666666666666,265.5491666666667,2.3966666666666665,4.0056666666666665,421412.22036666673,4.066725595085123,92327.9387833752,708.253,15.5,8.840000000000002,2.28,2019-Q2,Q2 2019
2019,3,2019-07-01,5.3,265.335,2.19,3.6620000000000004,423338.7632666666,4.098633621696128,90794.21836781915,708.253,15.5,9.36,2.44,2019-Q3,Q3 2019
2019,4,2019-10-01,5.266666666666667,265.3395,1.6433333333333333,3.701,426573.5709,3.068124769002324,89125.39170205394,708.253,15.5,6.5,2.44,2019-Q4,Q4 2019
2020,1,2020-01-01,5.666666666666667,265.909,1.26,3.5130000000000003,433666.6558666667,-17.789609810197856,87954.29052690418,670.917,13.5,5.416666666666667,2.1350000000000002,2020-Q1,Q1 2020
2020,2,2020-04-01,9.533333333333333,265.934,0.06,3.2336666666666667,439582.2086,-8.543304630365558,87647.40846619982,670.917,13.5,7.366666666666667,1.9949999999999999,2020-Q2,Q2 2020
2020,3,2020-07-01,8.466666666666667,268.03749999999997,0.09333333333333334,2.9470000000000005,443433.1083,32.97368930935817,88168.53383873789,670.917,13.5,7.8,2.1350000000000002,2020-Q3,Q3 2020
2020,4,2020-10-01,7.8999999999999995,269.0205,0.09000000000000001,2.7610000000000006,458110.92289999995,-0.6048965023145221,89436.91535735836,670.917,13.5,5.416666666666667,2.1350000000000002,2020-Q4,Q4 2020
2021,1,2021-01-01,7.133333333333333,271.441,0.08,2.875833333333333,474300.1572333334,7.574316659017612,91359.5850539729,669.256,16.5,6.083333333333333,2.6433333333333335,2021-Q1,Q1 2021
2021,2,2021-04-01,7.166666666666667,275.789,0.07,2.999166666666667,492685.20123333327,4.731624193669861,93793.17752418929,669.256,16.5,8.273333333333333,2.4699999999999998,2021-Q2,Q2 2021
2021,3,2021-07-01,6.8999999999999995,280.016,0.09000000000000001,2.8701666666666665,502848.7698333333,5.115481012579353,96628.99961949443,669.256,16.5,8.76,2.6433333333333335,2021-Q3,Q3 2021
